date,open,high,low,close,volume,market cap
2017-08-17,4261.480,4485.390,4200.740,4285.080,795.150,795.150
2017-08-18,4285.080,4371.520,3938.770,4108.370,1199.888,1199.888
2017-08-19,4108.370,4184.690,3850.000,4139.980,381.310,381.310
2017-08-20,4120.980,4211.080,4032.620,4086.290,467.083,467.083
2017-08-21,4069.130,4119.620,3911.790,4016.000,691.743,691.743
2017-08-22,4016.000,4104.820,3400.000,4040.000,966.685,966.685
2017-08-23,4040.000,4265.800,4013.890,4114.010,1001.137,1001.137
2017-08-24,4147.000,4371.680,4085.010,4316.010,787.419,787.419
2017-08-25,4316.010,4453.910,4247.480,4280.680,573.613,573.613
2017-08-26,4280.710,4367.000,4212.410,4337.440,228.108,228.108
2017-08-27,4332.510,4400.000,4285.540,4310.010,350.693,350.693
2017-08-28,4310.010,4399.820,4124.540,4386.690,603.842,603.842
2017-08-29,4353.650,4625.850,4313.550,4587.480,603.545,603.545
2017-08-30,4564.520,4647.510,4416.010,4555.140,808.469,808.469
2017-08-31,4555.140,4745.420,4555.140,4724.890,556.957,556.957
2017-09-01,4689.890,4885.550,4654.880,4834.910,560.666,560.666
2017-09-02,4796.160,4939.190,4286.870,4472.140,929.149,929.149
2017-09-03,4508.500,4714.760,4298.330,4509.080,691.216,691.216
2017-09-04,4505.000,4527.490,3972.510,4100.110,1394.645,1394.645
2017-09-05,4106.970,4484.990,3603.000,4366.470,1228.938,1228.938
2017-09-06,4366.490,4662.870,4335.260,4619.770,807.364,807.364
2017-09-07,4619.770,4788.590,4438.190,4691.610,500.430,500.430
2017-09-08,4691.660,4735.390,4028.930,4282.800,1132.255,1132.255
2017-09-09,4282.800,4426.620,4150.060,4258.810,658.783,658.783
2017-09-10,4258.810,4283.000,3801.000,4130.370,660.373,660.373
2017-09-11,4153.620,4334.430,4098.910,4208.470,699.989,699.989
2017-09-12,4208.600,4394.590,4040.800,4163.720,879.630,879.630
2017-09-13,4159.720,4165.380,3760.000,3944.690,913.463,913.463
2017-09-14,3944.000,3993.000,3165.130,3189.020,1665.022,1665.022
2017-09-15,3188.010,3856.000,2817.000,3700.000,1968.866,1968.866
2017-09-16,3674.010,3950.000,3470.660,3714.950,1297.564,1297.564
2017-09-17,3685.230,3748.210,3499.020,3699.990,682.171,682.171
2017-09-18,3690.000,4123.200,3690.000,4035.010,1030.006,1030.006
2017-09-19,4060.000,4089.970,3830.910,3910.040,902.332,902.332
2017-09-20,3910.040,4046.080,3820.000,3900.000,720.935,720.935
2017-09-21,3889.990,3910.000,3567.000,3609.990,1001.654,1001.654
2017-09-22,3592.840,3750.000,3505.550,3595.870,838.966,838.966
2017-09-23,3595.880,3817.190,3542.910,3780.000,752.793,752.793
2017-09-24,3779.540,3789.990,3622.760,3660.020,661.636,661.636
2017-09-25,3660.020,3979.870,3653.690,3920.750,727.995,727.995
2017-09-26,3928.000,3976.990,3850.050,3882.350,526.728,526.728
2017-09-27,3882.360,4249.940,3872.810,4193.000,628.171,628.171
