Date,Open,High,Low,Close,Adj Close,Volume
2015-01-29,200.380,202.300,198.680,201.990,183.042,173585400
2015-01-30,200.570,202.170,199.130,199.450,180.740,197729700
2015-02-02,200.050,202.030,197.860,201.920,182.979,163107000
2015-02-03,203.000,204.850,202.550,204.840,185.625,124212900
2015-02-04,203.920,205.380,203.510,204.060,184.918,134306700
2015-02-05,204.860,206.300,204.770,206.120,186.785,97953200
2015-02-06,206.560,207.240,204.920,205.550,186.268,125672000
2015-02-09,204.770,205.640,204.140,204.630,185.434,87219000
2015-02-10,205.880,207.120,204.680,206.810,187.410,96164200
2015-02-11,206.610,207.450,205.830,206.930,187.519,91087800
2015-02-12,207.890,208.990,206.970,208.920,189.322,97545900
2015-02-13,209.070,209.840,208.760,209.780,190.101,93670400
2015-02-17,209.400,210.320,209.100,210.110,190.400,76968200
2015-02-18,209.660,210.220,209.340,210.130,190.418,80652900
2015-02-19,209.410,210.420,209.240,209.980,190.283,91462500
2015-02-20,209.480,211.330,208.730,211.240,191.424,140896400
2015-02-23,210.940,211.210,210.480,211.210,191.397,74411100
2015-02-24,211.120,212.050,210.760,211.810,191.941,72472300
2015-02-25,211.660,212.240,211.220,211.630,191.778,73061700
2015-02-26,211.520,211.710,210.650,211.380,191.551,72697900
2015-02-27,211.260,211.580,210.600,210.660,190.899,108076000
2015-03-02,210.780,212.060,210.720,211.990,192.104,87491400
2015-03-03,211.470,212.050,210.080,211.120,191.316,110325800
2015-03-04,210.400,210.490,209.060,210.230,190.509,114497200
2015-03-05,210.620,210.800,209.850,210.460,190.717,76873000
2015-03-06,209.420,209.940,207.100,207.500,188.035,188128000
2015-03-09,207.740,208.790,207.550,208.360,188.814,89818900
2015-03-10,206.710,206.810,204.930,204.980,185.752,157121300
2015-03-11,205.290,205.500,204.400,204.500,185.317,110145700
2015-03-12,205.260,207.180,205.200,207.100,187.673,93993500
2015-03-13,206.770,207.930,204.580,205.830,186.522,162410900
2015-03-16,206.710,208.690,205.860,208.580,189.014,136099200
2015-03-17,207.690,208.420,206.980,207.960,188.452,94510400
2015-03-18,207.390,211.270,206.620,210.460,190.717,228808500
2015-03-19,209.960,210.470,209.030,209.500,189.848,117917300
2015-03-20,209.710,211.020,209.490,210.410,191.523,177715100
2015-03-23,210.420,211.110,210.000,210.000,191.150,71784500
2015-03-24,209.850,210.400,208.740,208.820,190.076,77805300
2015-03-25,209.070,209.350,205.710,205.760,187.291,159521700
2015-03-26,204.960,206.370,204.120,205.270,186.845,153067200
2015-03-27,205.130,205.950,204.900,205.740,187.272,118939000
2015-03-30,206.980,208.610,206.960,208.250,189.557,96180400
2015-03-31,207.260,208.100,206.360,206.430,187.901,126768700
2015-04-01,206.390,206.420,204.510,205.700,187.236,137303600
2015-04-02,205.620,206.980,205.400,206.440,187.910,86900900
2015-04-06,205.370,208.450,205.210,207.830,189.175,114368200
2015-04-07,207.860,208.760,207.240,207.280,188.674,81236300
2015-04-08,207.550,208.510,207.080,207.980,189.311,89351900
2015-04-09,207.780,209.180,207.190,208.900,190.149,85548900
2015-04-10,209.200,210.090,208.960,210.040,191.186,72722900
2015-04-13,209.870,210.630,209.030,209.090,190.322,74436600
2015-04-14,208.850,209.710,208.100,209.490,190.686,75099900
2015-04-15,210.050,211.040,209.950,210.430,191.542,99529300
2015-04-16,210.030,210.980,209.790,210.370,191.487,68934900
2015-04-17,208.940,209.230,207.010,207.950,189.284,191113200
2015-04-20,209.060,210.250,208.960,209.850,191.014,92189500
2015-04-21,210.670,210.860,209.240,209.600,190.786,72559800
2015-04-22,210.010,210.850,208.900,210.630,191.724,78264600
2015-04-23,210.150,211.940,210.010,211.160,192.206,102585900
2015-04-24,211.660,211.970,211.110,211.650,192.652,61327400
2015-04-27,212.330,212.480,210.540,210.770,191.851,79358100
2015-04-28,210.740,211.500,209.330,211.440,192.461,86863500
2015-04-29,210.370,211.290,209.600,210.570,191.669,125684900
2015-04-30,209.880,210.350,207.620,208.460,189.748,161304900
2015-05-01,209.400,210.770,209.280,210.720,191.805,103399700
2015-05-04,211.230,212.020,211.100,211.320,192.352,70927200
2015-05-05,211.030,211.460,208.730,208.900,190.149,113326200
2015-05-06,209.560,209.930,206.760,208.040,189.366,135060200
2015-05-07,207.920,209.380,207.520,208.870,190.122,88244900
2015-05-08,210.880,211.860,210.780,211.620,192.625,155877300
2015-05-11,211.570,211.890,210.520,210.610,191.705,75708100
2015-05-12,209.610,210.630,208.620,209.980,191.132,119727600
2015-05-13,210.470,211.220,209.740,210.020,191.168,94667900
2015-05-14,211.240,212.320,210.910,212.210,193.162,95934000
2015-05-15,212.440,212.610,211.860,212.440,193.371,76510100
2015-05-18,212.240,213.400,212.160,213.100,193.972,74549700
2015-05-19,213.240,213.570,212.690,213.030,193.908,72114600
